-> customer[90]: {atime 89, dtime 79, btype 1, money 231}
-> customer[346]: {atime 345, dtime 92, btype 0, money 744}
-> customer[349]: {atime 348, dtime 4, btype 1, money 859}
-> customer[352]: {atime 351, dtime 49, btype 0, money 355}
-> customer[355]: {atime 354, dtime 54, btype 1, money 15}
-> customer[358]: {atime 357, dtime 94, btype 1, money 36}
-> customer[362]: {atime 361, dtime 11, btype 1, money 297}
-> customer[365]: {atime 364, dtime 90, btype 0, money 495}
-> customer[368]: {atime 367, dtime 62, btype 0, money 371}
-> customer[372]: {atime 371, dtime 59, btype 1, money 611}
-> customer[375]: {atime 374, dtime 40, btype 1, money 706}
-> customer[378]: {atime 377, dtime 95, btype 0, money 12}
-> customer[381]: {atime 380, dtime 34, btype 1, money 986}
-> customer[384]: {atime 383, dtime 12, btype 1, money 894}
-> customer[387]: {atime 386, dtime 70, btype 1, money 635}
-> customer[390]: {atime 389, dtime 75, btype 0, money 567}
-> customer[394]: {atime 393, dtime 40, btype 0, money 489}
-> customer[397]: {atime 396, dtime 92, btype 1, money 348}
-> customer[400]: {atime 399, dtime 100, btype 1, money 202}
-> customer[403]: {atime 402, dtime 2, btype 1, money 574}
-> customer[404]: {atime 403, dtime 29, btype 0, money 283}
-> customer[407]: {atime 406, dtime 69, btype 1, money 449}
-> customer[410]: {atime 409, dtime 27, btype 1, money 481}
-> customer[411]: {atime 410, dtime 23, btype 1, money 944}
-> customer[412]: {atime 411, dtime 20, btype 1, money 413}
-> customer[413]: {atime 412, dtime 66, btype 0, money 675}
-> customer[418]: {atime 417, dtime 44, btype 0, money 769}
-> customer[421]: {atime 420, dtime 16, btype 0, money 614}
-> customer[424]: {atime 423, dtime 55, btype 1, money 950}
-> customer[427]: {atime 426, dtime 18, btype 1, money 756}
-> customer[430]: {atime 429, dtime 94, btype 0, money 468}
-> customer[433]: {atime 432, dtime 17, btype 0, money 907}
-> customer[436]: {atime 435, dtime 84, btype 0, money 60}
-> customer[439]: {atime 438, dtime 51, btype 1, money 337}
-> customer[442]: {atime 441, dtime 24, btype 1, money 94}
-> customer[446]: {atime 445, dtime 92, btype 0, money 634}
-> customer[449]: {atime 448, dtime 38, btype 1, money 257}
-> customer[456]: {atime 455, dtime 94, btype 0, money 877}
-> customer[459]: {atime 458, dtime 1, btype 1, money 568}
-> customer[462]: {atime 461, dtime 23, btype 1, money 611}
-> customer[465]: {atime 464, dtime 19, btype 0, money 533}
-> customer[468]: {atime 467, dtime 12, btype 0, money 502}
-> customer[471]: {atime 470, dtime 46, btype 1, money 202}
-> customer[474]: {atime 473, dtime 90, btype 0, money 29}
-> customer[478]: {atime 477, dtime 79, btype 1, money 246}
-> customer[481]: {atime 480, dtime 14, btype 1, money 927}
-> customer[484]: {atime 483, dtime 40, btype 1, money 254}
-> customer[487]: {atime 486, dtime 1, btype 1, money 644}
-> customer[490]: {atime 489, dtime 91, btype 0, money 575}
-> customer[493]: {atime 492, dtime 18, btype 1, money 926}
-> customer[498]: {atime 497, dtime 91, btype 1, money 30}
-> customer[501]: {atime 500, dtime 24, btype 0, money 21}
-> customer[503]: {atime 502, dtime 17, btype 0, money 180}
-> customer[505]: {atime 504, dtime 96, btype 0, money 629}
-> customer[508]: {atime 507, dtime 33, btype 0, money 274}
-> customer[511]: {atime 510, dtime 49, btype 0, money 110}
-> customer[514]: {atime 513, dtime 54, btype 1, money 524}
-> customer[517]: {atime 516, dtime 53, btype 1, money 457}
-> customer[520]: {atime 519, dtime 13, btype 1, money 981}
-> customer[523]: {atime 522, dtime 2, btype 0, money 762}
-> customer[526]: {atime 525, dtime 62, btype 0, money 356}
-> customer[529]: {atime 528, dtime 6, btype 0, money 714}
-> customer[532]: {atime 531, dtime 64, btype 1, money 85}
-> customer[535]: {atime 534, dtime 26, btype 1, money 407}
-> customer[536]: {atime 535, dtime 43, btype 1, money 249}
-> customer[537]: {atime 536, dtime 10, btype 1, money 566}
-> customer[538]: {atime 537, dtime 78, btype 1, money 333}
-> customer[541]: {atime 540, dtime 12, btype 0, money 864}
-> customer[544]: {atime 543, dtime 99, btype 0, money 104}
-> customer[547]: {atime 546, dtime 36, btype 1, money 883}
-> customer[550]: {atime 549, dtime 99, btype 0, money 293}
-> customer[553]: {atime 552, dtime 80, btype 1, money 288}
-> customer[556]: {atime 555, dtime 18, btype 1, money 215}
-> customer[559]: {atime 558, dtime 2, btype 0, money 357}
-> customer[562]: {atime 561, dtime 2, btype 0, money 227}
-> customer[565]: {atime 564, dtime 2, btype 1, money 571}
-> customer[568]: {atime 567, dtime 51, btype 0, money 79}
-> customer[572]: {atime 571, dtime 77, btype 1, money 119}
-> customer[575]: {atime 574, dtime 10, btype 1, money 274}
-> customer[581]: {atime 580, dtime 100, btype 0, money 832}
-> customer[584]: {atime 583, dtime 61, btype 0, money 665}
-> customer[587]: {atime 586, dtime 51, btype 0, money 761}
-> customer[590]: {atime 589, dtime 26, btype 0, money 650}
-> customer[593]: {atime 592, dtime 93, btype 1, money 484}
-> customer[596]: {atime 595, dtime 79, btype 1, money 512}
-> customer[599]: {atime 598, dtime 71, btype 0, money 544}
-> customer[602]: {atime 601, dtime 85, btype 1, money 641}
-> customer[605]: {atime 604, dtime 51, btype 0, money 428}
-> customer[608]: {atime 607, dtime 62, btype 1, money 210}
-> customer[611]: {atime 610, dtime 81, btype 0, money 575}
-> customer[614]: {atime 613, dtime 6, btype 1, money 992}
-> customer[617]: {atime 616, dtime 47, btype 0, money 696}
-> customer[620]: {atime 619, dtime 13, btype 1, money 431}
-> customer[624]: {atime 623, dtime 19, btype 0, money 798}
-> customer[625]: {atime 624, dtime 20, btype 1, money 594}
-> customer[628]: {atime 627, dtime 4, btype 1, money 606}
-> customer[631]: {atime 630, dtime 99, btype 0, money 958}
-> customer[634]: {atime 633, dtime 16, btype 1, money 197}
-> customer[637]: {atime 636, dtime 25, btype 0, money 884}
-> customer[640]: {atime 639, dtime 89, btype 1, money 780}
-> customer[643]: {atime 642, dtime 20, btype 1, money 362}
-> customer[646]: {atime 645, dtime 11, btype 0, money 491}
-> customer[649]: {atime 648, dtime 73, btype 1, money 281}
-> customer[652]: {atime 651, dtime 38, btype 1, money 453}
-> customer[655]: {atime 654, dtime 74, btype 0, money 85}
-> customer[658]: {atime 657, dtime 88, btype 0, money 864}
-> customer[661]: {atime 660, dtime 91, btype 0, money 455}
-> customer[664]: {atime 663, dtime 29, btype 0, money 183}
-> customer[667]: {atime 666, dtime 23, btype 1, money 229}
-> customer[669]: {atime 668, dtime 29, btype 1, money 845}
-> customer[672]: {atime 671, dtime 73, btype 1, money 519}
-> customer[677]: {atime 676, dtime 44, btype 1, money 850}
-> customer[680]: {atime 679, dtime 46, btype 1, money 583}
-> customer[683]: {atime 682, dtime 87, btype 1, money 717}
-> customer[687]: {atime 686, dtime 91, btype 1, money 959}
-> customer[690]: {atime 689, dtime 76, btype 1, money 699}
-> customer[693]: {atime 692, dtime 27, btype 1, money 499}
-> customer[696]: {atime 695, dtime 73, btype 1, money 777}
-> customer[699]: {atime 698, dtime 15, btype 0, money 860}
-> customer[702]: {atime 701, dtime 22, btype 0, money 132}
-> customer[705]: {atime 704, dtime 18, btype 0, money 580}
-> customer[709]: {atime 708, dtime 35, btype 0, money 690}
-> customer[712]: {atime 711, dtime 48, btype 1, money 85}
-> customer[715]: {atime 714, dtime 42, btype 0, money 857}
-> customer[718]: {atime 717, dtime 1, btype 1, money 425}
-> customer[721]: {atime 720, dtime 83, btype 0, money 404}
-> customer[724]: {atime 723, dtime 90, btype 0, money 745}
-> customer[727]: {atime 726, dtime 77, btype 0, money 766}
-> customer[730]: {atime 729, dtime 7, btype 1, money 118}
-> customer[733]: {atime 732, dtime 44, btype 0, money 593}
-> customer[736]: {atime 735, dtime 64, btype 1, money 513}
-> customer[739]: {atime 738, dtime 54, btype 0, money 370}
-> customer[742]: {atime 741, dtime 72, btype 1, money 770}
-> customer[745]: {atime 744, dtime 4, btype 0, money 818}
-> customer[748]: {atime 747, dtime 30, btype 1, money 52}
-> customer[751]: {atime 750, dtime 19, btype 1, money 245}
-> customer[756]: {atime 755, dtime 11, btype 0, money 996}
-> customer[759]: {atime 758, dtime 85, btype 1, money 40}
-> customer[761]: {atime 760, dtime 58, btype 0, money 29}
-> customer[763]: {atime 762, dtime 60, btype 1, money 429}
-> customer[766]: {atime 765, dtime 81, btype 0, money 444}
-> customer[769]: {atime 768, dtime 92, btype 1, money 600}
-> customer[772]: {atime 771, dtime 22, btype 0, money 349}
-> customer[775]: {atime 774, dtime 19, btype 1, money 562}
-> customer[778]: {atime 777, dtime 94, btype 1, money 177}
-> customer[781]: {atime 780, dtime 6, btype 0, money 372}
-> customer[784]: {atime 783, dtime 81, btype 0, money 98}
-> customer[787]: {atime 786, dtime 55, btype 0, money 627}
-> customer[790]: {atime 789, dtime 50, btype 0, money 632}
-> customer[793]: {atime 792, dtime 32, btype 1, money 23}
-> customer[796]: {atime 795, dtime 36, btype 0, money 174}
-> customer[799]: {atime 798, dtime 92, btype 0, money 782}
-> customer[802]: {atime 801, dtime 15, btype 1, money 314}
-> customer[805]: {atime 804, dtime 59, btype 0, money 400}
-> customer[809]: {atime 808, dtime 86, btype 1, money 493}
-> customer[812]: {atime 811, dtime 77, btype 1, money 880}
-> customer[815]: {atime 814, dtime 87, btype 1, money 8}
-> customer[818]: {atime 817, dtime 5, btype 1, money 602}
-> customer[821]: {atime 820, dtime 67, btype 0, money 171}
-> customer[824]: {atime 823, dtime 54, btype 1, money 395}
-> customer[827]: {atime 826, dtime 12, btype 1, money 683}
-> customer[830]: {atime 829, dtime 3, btype 1, money 801}
-> customer[833]: {atime 832, dtime 58, btype 1, money 321}
-> customer[836]: {atime 835, dtime 12, btype 0, money 23}
-> customer[839]: {atime 838, dtime 19, btype 0, money 282}
-> customer[842]: {atime 841, dtime 100, btype 1, money 236}
-> customer[845]: {atime 844, dtime 36, btype 0, money 552}
-> customer[846]: {atime 845, dtime 16, btype 0, money 704}
-> customer[850]: {atime 849, dtime 66, btype 1, money 867}
-> customer[853]: {atime 852, dtime 12, btype 0, money 571}
-> customer[856]: {atime 855, dtime 51, btype 1, money 258}
-> customer[859]: {atime 858, dtime 45, btype 0, money 71}
-> customer[862]: {atime 861, dtime 98, btype 0, money 561}
-> customer[865]: {atime 864, dtime 10, btype 0, money 795}
-> customer[869]: {atime 868, dtime 92, btype 0, money 697}
-> customer[872]: {atime 871, dtime 43, btype 1, money 77}
-> customer[875]: {atime 874, dtime 60, btype 0, money 58}
-> customer[878]: {atime 877, dtime 25, btype 1, money 604}
-> customer[881]: {atime 880, dtime 44, btype 0, money 553}
-> customer[884]: {atime 883, dtime 86, btype 0, money 570}
-> customer[887]: {atime 886, dtime 43, btype 1, money 426}
-> customer[890]: {atime 889, dtime 85, btype 0, money 766}
-> customer[893]: {atime 892, dtime 44, btype 0, money 182}
-> customer[896]: {atime 895, dtime 22, btype 0, money 235}
-> customer[899]: {atime 898, dtime 7, btype 1, money 209}
-> customer[902]: {atime 901, dtime 15, btype 0, money 703}
-> customer[905]: {atime 904, dtime 11, btype 1, money 877}
-> customer[908]: {atime 907, dtime 65, btype 0, money 430}
-> customer[909]: {atime 908, dtime 66, btype 0, money 463}
-> customer[913]: {atime 912, dtime 52, btype 1, money 449}
-> customer[916]: {atime 915, dtime 20, btype 1, money 138}
-> customer[919]: {atime 918, dtime 39, btype 1, money 953}
-> customer[922]: {atime 921, dtime 33, btype 1, money 234}
-> customer[925]: {atime 924, dtime 20, btype 1, money 950}
-> customer[929]: {atime 928, dtime 46, btype 1, money 658}
-> customer[931]: {atime 930, dtime 28, btype 0, money 150}
-> customer[935]: {atime 934, dtime 62, btype 0, money 42}
-> customer[938]: {atime 937, dtime 53, btype 1, money 84}
-> customer[941]: {atime 940, dtime 64, btype 0, money 892}
-> customer[944]: {atime 943, dtime 52, btype 0, money 319}
-> customer[947]: {atime 946, dtime 30, btype 1, money 325}
-> customer[950]: {atime 949, dtime 46, btype 0, money 544}
-> customer[953]: {atime 952, dtime 89, btype 0, money 838}
-> customer[957]: {atime 956, dtime 1, btype 0, money 688}
-> customer[961]: {atime 960, dtime 54, btype 0, money 550}
-> customer[964]: {atime 963, dtime 97, btype 0, money 79}
-> customer[967]: {atime 966, dtime 42, btype 1, money 542}
-> customer[970]: {atime 969, dtime 17, btype 0, money 702}
-> customer[973]: {atime 972, dtime 23, btype 0, money 818}
-> customer[976]: {atime 975, dtime 27, btype 1, money 808}
-> customer[979]: {atime 978, dtime 94, btype 1, money 431}
-> customer[982]: {atime 981, dtime 64, btype 0, money 90}
-> customer[985]: {atime 984, dtime 36, btype 1, money 437}
-> customer[988]: {atime 987, dtime 57, btype 1, money 24}
-> customer[991]: {atime 990, dtime 74, btype 1, money 626}
-> customer[995]: {atime 994, dtime 52, btype 0, money 761}

QueueANo.3:
-> customer[91]: {atime 90, dtime 60, btype 1, money 103}
-> customer[94]: {atime 93, dtime 79, btype 0, money 107}
-> customer[97]: {atime 96, dtime 78, btype 1, money 267}
-> customer[100]: {atime 99, dtime 6, btype 0, money 227}
-> customer[103]: {atime 102, dtime 66, btype 1, money 147}
-> customer[109]: {atime 108, dtime 60, btype 1, money 66}
-> customer[111]: {atime 110, dtime 47, btype 1, money 696}
-> customer[114]: {atime 113, dtime 6, btype 0, money 839}
-> customer[118]: {atime 117, dtime 30, btype 0, money 489}
-> customer[121]: {atime 120, dtime 52, btype 0, money 624}
-> customer[124]: {atime 123, dtime 97, btype 1, money 206}
-> customer[127]: {atime 126, dtime 37, btype 1, money 5}
-> customer[130]: {atime 129, dtime 59, btype 1, money 159}
-> customer[133]: {atime 132, dtime 70, btype 1, money 547}
-> customer[136]: {atime 135, dtime 27, btype 1, money 864}
-> customer[139]: {atime 138, dtime 24, btype 0, money 432}
-> customer[140]: {atime 139, dtime 50, btype 0, money 218}
-> customer[141]: {atime 140, dtime 37, btype 0, money 118}
-> customer[145]: {atime 144, dtime 41, btype 1, money 860}
-> customer[148]: {atime 147, dtime 39, btype 0, money 503}
-> customer[151]: {atime 150, dtime 9, btype 1, money 788}
-> customer[154]: {atime 153, dtime 94, btype 0, money 680}
-> customer[157]: {atime 156, dtime 63, btype 1, money 673}
-> customer[161]: {atime 160, dtime 30, btype 1, money 585}
-> customer[164]: {atime 163, dtime 22, btype 0, money 507}
-> customer[167]: {atime 166, dtime 16, btype 0, money 209}
-> customer[170]: {atime 169, dtime 78, btype 0, money 757}
-> customer[173]: {atime 172, dtime 75, btype 0, money 243}
-> customer[177]: {atime 176, dtime 38, btype 0, money 429}
-> customer[180]: {atime 179, dtime 51, btype 0, money 120}
-> customer[181]: {atime 180, dtime 1, btype 1, money 251}
-> customer[184]: {atime 183, dtime 67, btype 0, money 200}
-> customer[188]: {atime 187, dtime 89, btype 0, money 355}
-> customer[191]: {atime 190, dtime 90, btype 0, money 256}
-> customer[192]: {atime 191, dtime 81, btype 0, money 919}
-> customer[196]: {atime 195, dtime 52, btype 0, money 800}
-> customer[198]: {atime 197, dtime 36, btype 1, money 268}
-> customer[200]: {atime 199, dtime 55, btype 0, money 196}
-> customer[203]: {atime 202, dtime 25, btype 1, money 823}
-> customer[206]: {atime 205, dtime 4, btype 1, money 277}
-> customer[209]: {atime 208, dtime 96, btype 1, money 926}
-> customer[212]: {atime 211, dtime 71, btype 1, money 922}
-> customer[215]: {atime 214, dtime 98, btype 0, money 854}
-> customer[218]: {atime 217, dtime 53, btype 1, money 324}
-> customer[221]: {atime 220, dtime 14, btype 0, money 454}
-> customer[224]: {atime 223, dtime 39, btype 0, money 804}
-> customer[227]: {atime 226, dtime 1, btype 1, money 252}
-> customer[230]: {atime 229, dtime 80, btype 1, money 858}
-> customer[233]: {atime 232, dtime 48, btype 0, money 169}
-> customer[236]: {atime 235, dtime 79, btype 0, money 465}
-> customer[239]: {atime 238, dtime 36, btype 0, money 17}
-> customer[242]: {atime 241, dtime 8, btype 0, money 855}
-> customer[244]: {atime 243, dtime 88, btype 1, money 469}
-> customer[246]: {atime 245, dtime 42, btype 0, money 85}
-> customer[249]: {atime 248, dtime 31, btype 0, money 684}
-> customer[253]: {atime 252, dtime 61, btype 0, money 90}
-> customer[256]: {atime 255, dtime 26, btype 0, money 114}
-> customer[259]: {atime 258, dtime 77, btype 1, money 75}
-> customer[262]: {atime 261, dtime 37, btype 0, money 577}
-> customer[265]: {atime 264, dtime 35, btype 1, money 894}
-> customer[268]: {atime 267, dtime 80, btype 1, money 898}
-> customer[271]: {atime 270, dtime 20, btype 1, money 389}
-> customer[275]: {atime 274, dtime 27, btype 1, money 564}
-> customer[278]: {atime 277, dtime 65, btype 0, money 992}
-> customer[281]: {atime 280, dtime 84, btype 0, money 334}
-> customer[284]: {atime 283, dtime 40, btype 1, money 11}
-> customer[287]: {atime 286, dtime 26, btype 0, money 377}
-> customer[290]: {atime 289, dtime 16, btype 1, money 4}
-> customer[293]: {atime 292, dtime 33, btype 0, money 160}
-> customer[296]: {atime 295, dtime 36, btype 1, money 294}
-> customer[299]: {atime 298, dtime 8, btype 1, money 576}
-> customer[302]: {atime 301, dtime 55, btype 1, money 401}
-> customer[305]: {atime 304, dtime 47, btype 1, money 280}
-> customer[308]: {atime 307, dtime 25, btype 1, money 574}
-> customer[309]: {atime 308, dtime 74, btype 0, money 947}
-> customer[312]: {atime 311, dtime 81, btype 0, money 906}
-> customer[315]: {atime 314, dtime 27, btype 0, money 168}
-> customer[319]: {atime 318, dtime 61, btype 0, money 435}
-> customer[322]: {atime 321, dtime 95, btype 0, money 680}
-> customer[325]: {atime 324, dtime 71, btype 0, money 788}
-> customer[326]: {atime 325, dtime 74, btype 1, money 106}
-> customer[329]: {atime 328, dtime 91, btype 0, money 243}
-> customer[332]: {atime 331, dtime 5, btype 1, money 233}
-> customer[335]: {atime 334, dtime 30, btype 1, money 714}
-> customer[338]: {atime 337, dtime 64, btype 1, money 933}
-> customer[341]: {atime 340, dtime 38, btype 0, money 124}
-> customer[344]: {atime 343, dtime 57, btype 0, money 905}
-> customer[347]: {atime 346, dtime 20, btype 1, money 652}
-> customer[350]: {atime 349, dtime 66, btype 0, money 61}
-> customer[353]: {atime 352, dtime 66, btype 1, money 717}
-> customer[356]: {atime 355, dtime 68, btype 0, money 130}
-> customer[359]: {atime 358, dtime 37, btype 0, money 475}
-> customer[363]: {atime 362, dtime 43, btype 0, money 96}
-> customer[366]: {atime 365, dtime 33, btype 1, money 760}
-> customer[369]: {atime 368, dtime 68, btype 1, money 900}
-> customer[373]: {atime 372, dtime 56, btype 1, money 421}
-> customer[376]: {atime 375, dtime 87, btype 1, money 353}
-> customer[379]: {atime 378, dtime 43, btype 0, money 122}
-> customer[382]: {atime 381, dtime 89, btype 1, money 718}
-> customer[385]: {atime 384, dtime 60, btype 0, money 520}
-> customer[388]: {atime 387, dtime 87, btype 0, money 614}
-> customer[391]: {atime 390, dtime 60, btype 1, money 302}
-> customer[393]: {atime 392, dtime 15, btype 1, money 524}
-> customer[395]: {atime 394, dtime 52, btype 1, money 466}
-> customer[398]: {atime 397, dtime 43, btype 1, money 165}
-> customer[401]: {atime 400, dtime 4, btype 1, money 691}
-> customer[405]: {atime 404, dtime 38, btype 1, money 592}
-> customer[408]: {atime 407, dtime 90, btype 0, money 42}
-> customer[414]: {atime 413, dtime 86, btype 0, money 183}
-> customer[415]: {atime 414, dtime 68, btype 0, money 816}
-> customer[416]: {atime 415, dtime 73, btype 0, money 889}
-> customer[419]: {atime 418, dtime 19, btype 1, money 815}
-> customer[422]: {atime 421, dtime 89, btype 0, money 643}
-> customer[425]: {atime 424, dtime 95, btype 1, money 222}
-> customer[428]: {atime 427, dtime 76, btype 0, money 106}
-> customer[431]: {atime 430, dtime 85, btype 0, money 204}
-> customer[434]: {atime 433, dtime 16, btype 0, money 420}
-> customer[437]: {atime 436, dtime 30, btype 0, money 387}
-> customer[440]: {atime 439, dtime 54, btype 1, money 532}
-> customer[444]: {atime 443, dtime 93, btype 0, money 593}
-> customer[447]: {atime 446, dtime 67, btype 1, money 775}
-> customer[450]: {atime 449, dtime 98, btype 0, money 841}
-> customer[457]: {atime 456, dtime 4, btype 0, money 449}
-> customer[460]: {atime 459, dtime 23, btype 1, money 521}
-> customer[463]: {atime 462, dtime 95, btype 0, money 55}
-> customer[466]: {atime 465, dtime 77, btype 0, money 56}
-> customer[469]: {atime 468, dtime 11, btype 0, money 23}
-> customer[472]: {atime 471, dtime 31, btype 1, money 151}
-> customer[475]: {atime 474, dtime 5, btype 1, money 351}
-> customer[476]: {atime 475, dtime 2, btype 0, money 693}
-> customer[479]: {atime 478, dtime 96, btype 0, money 494}
-> customer[482]: {atime 481, dtime 90, btype 0, money 778}
-> customer[485]: {atime 484, dtime 21, btype 1, money 151}
-> customer[488]: {atime 487, dtime 73, btype 1, money 212}
-> customer[491]: {atime 490, dtime 65, btype 1, money 269}
-> customer[496]: {atime 495, dtime 27, btype 0, money 53}
-> customer[499]: {atime 498, dtime 75, btype 0, money 36}
-> customer[502]: {atime 501, dtime 70, btype 0, money 244}
-> customer[506]: {atime 505, dtime 29, btype 0, money 460}
-> customer[509]: {atime 508, dtime 56, btype 1, money 251}
-> customer[512]: {atime 511, dtime 23, btype 1, money 449}
-> customer[515]: {atime 514, dtime 7, btype 1, money 474}
-> customer[518]: {atime 517, dtime 89, btype 0, money 205}
-> customer[521]: {atime 520, dtime 84, btype 1, money 730}
-> customer[524]: {atime 523, dtime 8, btype 1, money 132}
-> customer[527]: {atime 526, dtime 41, btype 0, money 264}
-> customer[530]: {atime 529, dtime 66, btype 1, money 284}
-> customer[533]: {atime 532, dtime 19, btype 0, money 363}
-> customer[539]: {atime 538, dtime 63, btype 0, money 586}
-> customer[542]: {atime 541, dtime 71, btype 1, money 496}
-> customer[545]: {atime 544, dtime 66, btype 0, money 326}
-> customer[548]: {atime 547, dtime 9, btype 0, money 454}
-> customer[551]: {atime 550, dtime 43, btype 0, money 922}
-> customer[554]: {atime 553, dtime 32, btype 0, money 441}
-> customer[557]: {atime 556, dtime 58, btype 1, money 264}
-> customer[560]: {atime 559, dtime 59, btype 1, money 3}
-> customer[563]: {atime 562, dtime 64, btype 1, money 252}
-> customer[566]: {atime 565, dtime 42, btype 0, money 812}
-> customer[569]: {atime 568, dtime 92, btype 0, money 665}
-> customer[570]: {atime 569, dtime 39, btype 0, money 591}
-> customer[573]: {atime 572, dtime 29, btype 0, money 262}
-> customer[578]: {atime 577, dtime 86, btype 1, money 146}
-> customer[579]: {atime 578, dtime 6, btype 1, money 460}
-> customer[582]: {atime 581, dtime 26, btype 1, money 574}
